1

                                             * * * * * * * * *  L H S  * * * * * * * * *

                                             LATIN HYPERCUBE AND RANDOM SAMPLING PROGRAM

                                             * * * * * * * * * * * * * * * * * * * * * *


    Run on  5/22/19 at 11:56:39.14 with LHS Version: 2.30 Release 1, Compiled May 31, 2001        


0    Pecos::LHSDriver

    Random Seed =      128353

    Number of Variables =   3

    Number of Observations =  240
0   The sample was written to the file: LHS_samples.out
0   Input was read from the file: 
0   The sample input vectors will be printed along with their corresponding ranks.
0   Histograms of the actual sample will be plotted for each input variable.
0   The correlation matrices (raw data and rank correlations) will be printed.
1

    Pecos::LHSDriver                                                                                                             

    VARIABLE  DISTRIBUTION          RANGE            LABEL
0   64 0.737      2.47     0.740    
0   65 0.808      2.03     0.525    
0   66 0.800      2.39     2.512E-02
0   67 0.795      2.52     0.558    
0   68 0.777      2.51     0.138    
0   69 0.725      2.43     0.219    
0   70 0.725      2.19     0.980    
0   71 0.809      2.27     0.694    
0   72 0.759      2.11     0.109    
0   73 0.815      2.43      1.00    
0   74 0.763      2.31      1.56    
0   75 0.758      2.56     0.463    
0   76 0.779      2.19     0.477    
0   77 0.809      2.29     0.366    
0   78 0.840      2.31     0.346    
0   79 0.745      2.37      1.01    
0   80 0.729      2.54     0.698    
0   81 0.797      2.06      1.08    
0   82 0.764      2.33     0.577    
0   83 0.754      2.52     0.871    
0   84 0.776      2.26     0.448    
0   85 0.752      2.30     0.785    
0   86 0.772      2.12     0.519    
0   87 0.807      2.12     0.708    
0   88 0.723      2.14     0.101    
0   89 0.762      2.52      1.11    
0   90 0.824      2.56     0.799    
0   91 0.808      2.29      1.06    
0   92 0.723      2.13      1.25    
0   93 0.717      2.34      1.23    
0   94 0.775      2.49     0.405    
0   95 0.719      2.23     0.796    
0   96 0.805      2.54     0.306    
0   97 0.775      2.39     0.867    
0   98 0.750      2.55     0.126    
0   99 0.770      2.01     0.611    
0  100 0.773      2.18     0.675    
0  101 0.746      2.05     0.572    
0  102 0.817      1.94     0.996    
0  103 0.759      2.29      1.17    
0  104 0.754      2.61     0.926    
0  105 0.715      2.33     0.991    
0  106 0.812      2.39      1.21    
0  107 0.743      1.97     0.475    
0  108 0.720      2.30     8.512E-02
0  109 0.766      2.25      1.14    
0  110 0.782      2.37     0.764    
0  111 0.786      2.47      1.22    
0  112 0.820      2.31      1.18    
0  113 0.738      2.32     0.970    
0  114 0.827      1.96     0.631    
0  115 0.837      2.20     0.507    
0  116 0.697      2.45     0.758    
0  117 0.730      2.28     0.937    
0  118 0.866      2.24     0.262    
0  119 0.853      2.32      1.38    
0  120 0.793      2.40     0.953    
0  121 0.789      2.59     0.778    
0  122 0.779      2.60     0.588    
0  123 0.799      2.27     0.947    
0  124 0.724      2.21     0.622    
0  125 0.757      2.40     0.444    
0  126 0.820      2.30     0.614    
0  127 0.782      2.57      1.08    
0  128 0.690      2.27     6.540E-02
0  129 0.741      2.06     0.878    
0  130 0.774      2.45     0.828    
0  131 0.801      2.16     0.887    
0  132 0.729      2.21     0.490    
0  133 0.727      2.39     0.531    
0  134 0.783      2.11     0.241    
0  135 0.794      2.16     0.464    
0  136 0.832      2.09     0.617    
0  137 0.762      2.51     0.834    
0  138 0.823      2.12      1.42    
0  139 0.787      2.10      1.09    
0  140 0.749      1.95     0.688    
0  141 0.755      2.49     0.421    
0  142 0.744      2.16     0.904    
0  143 0.771      2.50     3.931E-02
0  144 0.778      2.15     0.667    
0  145 0.760      2.06     0.814    
0  146 0.784      2.22     0.358    
0  147 0.830      2.09     4.820E-02
0  148 0.768      2.46     0.653    
0  149 0.801      2.25     0.955    
0  150 0.767      2.37     0.807    
0  151 0.749      2.29     5.289E-03
0  152 0.728      2.28     0.897    
0  153 0.747      2.15     0.439    
0  154 0.771      1.98     0.199    
0  155 0.797      2.10     0.633    
0  156 0.734      2.27     0.416    
0  157 0.704      2.46     0.545    
0  158 0.752      2.62     0.852    
0  159 0.738      2.39     0.891    
0  160 0.742      2.14     0.860    
0  161 0.799      2.28     0.429    
0  162 0.760      2.36     2.306E-02
0  163 0.753      2.37     0.287    
0  164 0.816      2.61     0.702    
0  165 0.773      2.55     0.973    
0  166 0.781      2.07     0.297    
0  167 0.733      2.35     0.673    
0  168 0.745      2.15     0.929    
0  169 0.766      2.07     0.566    
0  170 0.798      2.04      1.70    
0  171 0.763      2.25     0.515    
0  172 0.739      2.18     0.150    
0  173 0.778      2.33     0.601    
0  174 0.756      2.01     0.169    
0  175 0.802      2.41     0.257    
0  176 0.746      2.38     8.868E-02
0  177 0.769      2.24     0.394    
0  178 0.768      2.08     0.682    
0  179 0.737      2.09      1.12    
0  180 0.728      2.36     0.535    
0  181 0.745      2.44     0.960    
0  182 0.772      1.99      1.09    
0  183 0.748      2.42     0.720    
0  184 0.705      2.10     0.857    
0  185 0.732      2.59     0.269    
0  186 0.713      2.53     0.382    
0  187 0.756      2.28     0.749    
0  188 0.761      2.09     0.360    
0  189 0.742      2.35     0.875    
0  190 0.806      2.28     0.751    
0  191 0.790      2.18     0.498    
0  192 0.804      2.31     0.729    
0  193 0.718      2.42      1.51    
0  194 0.760      2.11      1.84    
0  195 0.781      2.23     0.117    
0  196 0.751      2.05     0.919    
0  197 0.767      2.07      1.32    
0  198 0.764      2.58     0.562    
0  199 0.777      2.43     0.228    
0  200 0.813      2.23      1.04    
0  201 0.785      2.38     0.732    
0  202 0.708      1.99     0.760    
0  203 0.710      2.33      1.16    
0  204 0.859      2.33     0.249    
0  205 0.765      2.16      1.26    
0  206 0.711      2.26     0.304    
0  207 0.749      2.06     0.639    
0  208 0.785      2.25     0.776    
0  209 0.789      2.34      1.05    
0  210 0.811      2.17     0.436    
0  211 0.722      2.41      1.35    
0  212 0.757      2.15     0.320    
0  213 0.714      1.99     0.911    
0  214 0.767      2.13     0.329    
0  215 0.734      2.36     0.837    
0  216 0.802      2.26     0.628    
0  217 0.773      2.48      1.46    
0  218 0.757      2.23     0.471    
0  219 0.803      2.35     0.659    
0  220 0.753      2.19     0.274    
0  221 0.736      2.00     0.584    
0  222 0.796      2.17     0.221    
0  223 0.840      2.37     0.174    
0  224 0.788      2.00      1.48    
0  225 0.792      2.43     0.236    
0  226 0.834      2.21      1.24    
0  227 0.682      2.41     0.277    
0  228 0.785      2.52     0.841    
0  229 0.780      2.03      1.13    
0  230 0.779      2.38     0.511    
0  231 0.791      2.20     0.206    
0  232 0.741      2.35     0.553    
0  233 0.822      2.14     0.191    
0  234 0.703      2.11     0.846    
0  235 0.750      2.42     0.369    
0  236 0.794      2.46     0.502    
0  237 0.755      2.28     0.458    
0  238 0.718      2.02      1.15    
0  239 0.693      2.20     0.387    
0  240 0.758      2.03     0.402    
1Pecos::LHSDriver                                                                                                             
0RANKS OF LATIN HYPERCUBE SAMPLE INPUT VECTORS

 RUN NO.    X(1)      X(2)      X(3)
0    1      188.      221.       48.
0    2       57.      213.       17.
0    3        5.      208.       45.
0    4      176.      167.      217.
0    5      220.      236.      224.
0    6      131.      193.       78.
0    7      164.      199.      216.
0    8       11.      146.      201.
0    9      185.       53.       56.
0   10      216.       92.      144.
0   11       50.      225.       24.
0   12       45.      111.       99.
0   13      227.       68.      133.
0   14      102.      191.      148.
0   15       15.      108.      114.
0   16       58.      151.       20.
0   17      168.       93.      119.
0   18       18.      148.      232.
0   19      130.       17.      153.
0   20        3.      100.      188.
0   21       87.      205.       46.
0   22       51.      177.      124.
0   23      212.      129.      230.
0   24       10.       60.      196.
0   25      236.      230.      226.
0   26      134.      195.      102.
0   27       77.       73.      155.
0   28      127.      187.      105.
0   29      145.      133.       63.
0   30      172.      206.      193.
0   31        2.        5.      149.
0   32       44.      102.      136.
0   33      195.        8.      198.
0   34      237.      180.      103.
0   35       29.      141.      209.
0   36       83.      210.       76.
0   37       36.       84.        7.
0   38       60.      233.      228.
0   39      160.       80.      194.
0   40      182.        2.      117.
0   41      161.      139.      156.
0   42      109.       26.       53.
0   43      117.      192.      195.
0   44       23.       54.      115.
0   45      170.       41.       15.
0   46      177.       91.       69.
0   47      112.      132.       96.
0   48       88.      216.      225.
0   49      213.       35.       43.
0   50      119.      204.      138.
0   51      149.       85.       60.
0   52      204.       15.       37.
0   53      142.       51.      180.
0   54       73.      156.      129.
0   55      229.       76.       85.
0   56       43.       88.       41.
0   57        1.       22.      131.
0   58      226.      103.       89.
0   59      141.       94.      238.
0   60        8.      110.      175.
0   61       63.       72.       91.
0   62       67.      158.      172.
0   63      180.      179.      207.
0   64       53.      203.      137.
0   65      208.       19.       86.
0   66      196.      172.        3.
0   67      187.      217.       93.
0   68      147.      215.       14.
0   69       34.      188.       25.
0   70       35.       78.      187.
0   71      210.      115.      126.
0   72      103.       44.       11.
0   73      217.      186.      191.
0   74      114.      134.      237.
0   75      100.      228.       71.
0   76      153.       79.       75.
0   77      209.      125.       51.
0   78      235.      137.       47.
0   79       71.      164.      192.
0   80       41.      224.      127.
0   81      190.       30.      202.
0   82      115.      143.       98.
0   83       92.      220.      166.
0   84      146.      112.       68.
0   85       85.      130.      147.
0   86      136.       49.       84.
0   87      206.       48.      130.
0   88       32.       58.       10.
0   89      110.      218.      206.
0   90      225.      229.      151.
0   91      207.      127.      200.
0   92       31.       52.      222.
0   93       24.      150.      220.
0   94      143.      209.       59.
0   95       27.       95.      150.
0   96      203.      223.       40.
0   97      144.      170.      165.
0   98       81.      227.       13.
0   99      129.       14.      106.
0  100      138.       75.      122.
0  101       72.       24.       97.
0  102      219.        1.      190.
0  103      104.      124.      214.
0  104       91.      239.      177.
0  105       22.      144.      189.
0  106      214.      171.      218.
0  107       66.        6.       74.
0  108       28.      131.        8.
0  109      120.      107.      211.
0  110      158.      162.      143.
0  111      169.      202.      219.
0  112      221.      135.      215.
0  113       55.      140.      185.
0  114      228.        4.      111.
0  115      233.       82.       81.
0  116        9.      196.      141.
0  117       42.      120.      179.
0  118      240.      101.       32.
0  119      238.      138.      231.
0  120      183.      176.      182.
0  121      175.      234.      146.
0  122      152.      237.      101.
0  123      193.      114.      181.
0  124       33.       89.      109.
0  125       99.      175.       67.
0  126      222.      128.      107.
0  127      159.      231.      203.
0  128        6.      117.        6.
0  129       62.       27.      168.
0  130      140.      197.      157.
0  131      198.       66.      169.
0  132       40.       87.       77.
0  133       37.      174.       87.
0  134      162.       46.       29.
0  135      186.       64.       72.
0  136      231.       39.      108.
0  137      111.      214.      158.
0  138      224.       50.      233.
0  139      171.       42.      204.
0  140       80.        3.      125.
0  141       94.      211.       62.
0  142       68.       65.      173.
0  143      133.      212.        4.
0  144      150.       59.      120.
0  145      105.       29.      154.
0  146      163.       90.       49.
0  147      230.       37.        5.
0  148      126.      201.      116.
0  149      197.      106.      183.
0  150      123.      163.      152.
0  151       78.      126.        1.
0  152       39.      119.      171.
0  153       75.       62.       66.
0  154      132.        7.       22.
0  155      191.       43.      112.
0  156       48.      116.       61.
0  157       13.      198.       90.
0  158       86.      240.      162.
0  159       56.      173.      170.
0  160       65.       57.      164.
0  161      194.      123.       64.
0  162      107.      159.        2.
0  163       90.      165.       36.
0  164      218.      238.      128.
0  165      139.      226.      186.
0  166      156.       32.       38.
0  167       47.      153.      121.
0  168       70.       61.      178.
0  169      121.       31.       95.
0  170      192.       23.      239.
0  171      113.      105.       83.
0  172       59.       71.       16.
0  173      151.      145.      104.
0  174       96.       16.       18.
0  175      199.      178.       31.
0  176       74.      166.        9.
0  177      128.       99.       57.
0  178      125.       34.      123.
0  179       54.       36.      208.
0  180       38.      160.       88.
0  181       69.      194.      184.
0  182      135.       11.      205.
0  183       76.      183.      132.
0  184       14.       40.      163.
0  185       46.      235.       33.
0  186       20.      222.       54.
0  187       95.      118.      139.
0  188      108.       38.       50.
0  189       64.      154.      167.
0  190      205.      121.      140.
0  191      178.       74.       79.
0  192      202.      136.      134.
0  193       26.      184.      236.
0  194      106.       45.      240.
0  195      157.       98.       12.
0  196       84.       25.      176.
0  197      124.       33.      227.
0  198      116.      232.       94.
0  199      148.      189.       27.
0  200      215.       96.      197.
0  201      166.      169.      135.
0  202       16.        9.      142.
0  203       17.      142.      213.
0  204      239.      147.       30.
0  205      118.       67.      223.
0  206       19.      113.       39.
0  207       79.       28.      113.
0  208      167.      104.      145.
0  209      174.      149.      199.
0  210      211.       70.       65.
0  211       30.      181.      229.
0  212       97.       63.       42.
0  213       21.       10.      174.
0  214      122.       55.       44.
0  215       49.      157.      159.
0  216      200.      109.      110.
0  217      137.      207.      234.
0  218       98.       97.       73.
0  219      201.      152.      118.
0  220       89.       77.       34.
0  221       52.       12.      100.
0  222      189.       69.       26.
0  223      234.      161.       19.
0  224      173.       13.      235.
0  225      181.      190.       28.
0  226      232.       86.      221.
0  227        4.      182.       35.
0  228      165.      219.      160.
0  229      155.       20.      210.
0  230      154.      168.       82.
0  231      179.       81.       23.
0  232       61.      155.       92.
0  233      223.       56.       21.
0  234       12.       47.      161.
0  235       82.      185.       52.
0  236      184.      200.       80.
0  237       93.      122.       70.
0  238       25.       18.      212.
0  239        7.       83.       55.
0  240      101.       21.       58.
1   Pecos::LHSDriver                                                                                                             
0  HISTOGRAM FOR VARIABLE NO.  1     BOUNDED NORMAL DISTRIBUTION

     Midpoint          Freq.

   6.6824999E-01         2    XX
   6.7814998E-01         2    XX
   6.8804998E-01         2    XX
   6.9794998E-01         5    XXXXX
   7.0784998E-01         8    XXXXXXXX
   7.1774998E-01        12    XXXXXXXXXXXX
   7.2764998E-01        15    XXXXXXXXXXXXXXX
   7.3754998E-01        19    XXXXXXXXXXXXXXXXXXX
   7.4744998E-01        21    XXXXXXXXXXXXXXXXXXXXX
   7.5734998E-01        25    XXXXXXXXXXXXXXXXXXXXXXXXX
   7.6724998E-01        24    XXXXXXXXXXXXXXXXXXXXXXXX
   7.7714998E-01        24    XXXXXXXXXXXXXXXXXXXXXXXX
   7.8704998E-01        22    XXXXXXXXXXXXXXXXXXXXXX
   7.9694998E-01        17    XXXXXXXXXXXXXXXXX
   8.0684998E-01        14    XXXXXXXXXXXXXX
   8.1674998E-01        11    XXXXXXXXXXX
   8.2664998E-01         7    XXXXXXX
   8.3654998E-01         5    XXXXX
   8.4644998E-01         2    XX
   8.5634998E-01         2    XX
   8.6624998E-01         1    X
0                      240


      Min            Max           Range           Mean          Median        Variance

   6.6816115E-01  8.6550314E-01  1.9734199E-01  7.6599053E-01  7.6602379E-01  1.4216182E-03

1   Pecos::LHSDriver                                                                                                             
0  HISTOGRAM FOR VARIABLE NO.  2     BOUNDED NORMAL DISTRIBUTION

     Midpoint          Freq.

   1.9550000E+00         6    XXXXXX
   1.9890000E+00         7    XXXXXXX
   2.0230000E+00         9    XXXXXXXXX
   2.0570000E+00        10    XXXXXXXXXX
   2.0910000E+00        12    XXXXXXXXXXXX
   2.1250000E+00        13    XXXXXXXXXXXXX
   2.1590000E+00        14    XXXXXXXXXXXXXX
   2.1930000E+00        15    XXXXXXXXXXXXXXX
   2.2270000E+00        17    XXXXXXXXXXXXXXXXX
   2.2609999E+00        16    XXXXXXXXXXXXXXXX
   2.2949999E+00        17    XXXXXXXXXXXXXXXXX
   2.3289999E+00        15    XXXXXXXXXXXXXXX
   2.3629999E+00        16    XXXXXXXXXXXXXXXX
   2.3969999E+00        15    XXXXXXXXXXXXXXX
   2.4309999E+00        13    XXXXXXXXXXXXX
   2.4649999E+00        11    XXXXXXXXXXX
   2.4989999E+00        11    XXXXXXXXXXX
   2.5329999E+00         8    XXXXXXXX
   2.5669999E+00         8    XXXXXXXX
   2.6009999E+00         6    XXXXXX
   2.6349999E+00         1    X
0                      240


      Min            Max           Range           Mean          Median        Variance

   1.9416928E+00  2.6188854E+00  6.7719258E-01  2.2799082E+00  2.2800375E+00  2.8666433E-02

1   Pecos::LHSDriver                                                                                                             
0  HISTOGRAM FOR VARIABLE NO.  3     BOUNDED NORMAL DISTRIBUTION

     Midpoint          Freq.

   4.5999999E-02         9    XXXXXXXXX
   1.3800000E-01        11    XXXXXXXXXXX
   2.2999999E-01        14    XXXXXXXXXXXXXX
   3.2199999E-01        17    XXXXXXXXXXXXXXXXX
   4.1399999E-01        19    XXXXXXXXXXXXXXXXXXX
   5.0599999E-01        21    XXXXXXXXXXXXXXXXXXXXX
   5.9799999E-01        22    XXXXXXXXXXXXXXXXXXXXXX
   6.8999998E-01        23    XXXXXXXXXXXXXXXXXXXXXXX
   7.8199998E-01        20    XXXXXXXXXXXXXXXXXXXX
   8.7399998E-01        20    XXXXXXXXXXXXXXXXXXXX
   9.6599998E-01        16    XXXXXXXXXXXXXXXX
   1.0580000E+00        13    XXXXXXXXXXXXX
   1.1500000E+00        11    XXXXXXXXXXX
   1.2420000E+00         8    XXXXXXXX
   1.3340000E+00         6    XXXXXX
   1.4260000E+00         4    XXXX
   1.5180000E+00         3    XXX
   1.6100000E+00         1    X
   1.7020000E+00         1    X
   1.7940000E+00         1    X
0                      240


      Min            Max           Range           Mean          Median        Variance

   5.2886472E-03  1.8385733E+00  1.8332846E+00  6.9291085E-01  6.7000911E-01  1.3721549E-01

1Pecos::LHSDriver                                                                                                             
0CORRELATIONS AMONG INPUT VARIABLES CREATED BY THE LATIN HYPERCUBE SAMPLE FOR RAW DATA                              PAGE   1
0    1  1.0000
0    2 -0.0021  1.0000
0    3  0.0019  0.0016  1.0000
0            1       2       3
0VARIABLES
0THE VARIANCE INFLATION FACTOR FOR THIS MATRIX IS  1.00
1Pecos::LHSDriver                                                                                                             
0CORRELATIONS AMONG INPUT VARIABLES CREATED BY THE LATIN HYPERCUBE SAMPLE FOR RANK DATA                              PAGE   1
0    1  1.0000
0    2 -0.0266  1.0000
0    3 -0.0067  0.0131  1.0000
0            1       2       3
0VARIABLES
0THE VARIANCE INFLATION FACTOR FOR THIS MATRIX IS  1.00
