1

                                             * * * * * * * * *  L H S  * * * * * * * * *

                                             LATIN HYPERCUBE AND RANDOM SAMPLING PROGRAM

                                             * * * * * * * * * * * * * * * * * * * * * *


    Run on  5/13/19 at 13:31:38.56 with LHS Version: 2.30 Release 1, Compiled May 31, 2001        
0  128 0.756    
0  129 0.702    
0  130 0.789    
0  131 0.770    
0  132 0.739    
0  133 0.727    
0  134 0.755    
0  135 0.688    
0  136 0.768    
0  137 0.790    
0  138 0.710    
0  139 0.743    
0  140 0.802    
0  141 0.751    
0  142 0.746    
0  143 0.747    
0  144 0.794    
0  145 0.738    
0  146 0.840    
0  147 0.696    
0  148 0.764    
0  149 0.713    
0  150 0.742    
0  151 0.799    
0  152 0.782    
0  153 0.742    
0  154 0.736    
0  155 0.727    
0  156 0.723    
0  157 0.740    
0  158 0.708    
0  159 0.747    
0  160 0.755    
0  161 0.755    
0  162 0.752    
0  163 0.759    
0  164 0.764    
0  165 0.773    
0  166 0.798    
0  167 0.832    
0  168 0.751    
0  169 0.704    
0  170 0.734    
0  171 0.714    
0  172 0.803    
0  173 0.776    
0  174 0.859    
0  175 0.767    
0  176 0.769    
0  177 0.715    
0  178 0.788    
0  179 0.771    
0  180 0.768    
0  181 0.850    
0  182 0.724    
0  183 0.742    
0  184 0.724    
0  185 0.823    
0  186 0.792    
0  187 0.699    
0  188 0.760    
0  189 0.739    
0  190 0.786    
0  191 0.718    
0  192 0.801    
0  193 0.784    
0  194 0.718    
0  195 0.811    
0  196 0.785    
0  197 0.731    
0  198 0.734    
0  199 0.806    
0  200 0.796    
0  201 0.864    
0  202 0.741    
0  203 0.791    
0  204 0.831    
0  205 0.789    
0  206 0.803    
0  207 0.730    
0  208 0.765    
0  209 0.745    
0  210 0.744    
0  211 0.776    
0  212 0.783    
0  213 0.815    
0  214 0.716    
0  215 0.761    
0  216 0.794    
0  217 0.705    
0  218 0.773    
0  219 0.787    
0  220 0.789    
0  221 0.745    
0  222 0.732    
0  223 0.782    
0  224 0.795    
0  225 0.716    
0  226 0.752    
0  227 0.768    
0  228 0.763    
0  229 0.781    
0  230 0.773    
0  231 0.820    
0  232 0.791    
0  233 0.775    
0  234 0.797    
0  235 0.765    
0  236 0.804    
0  237 0.812    
0  238 0.758    
0  239 0.703    
0  240 0.753    
1Pecos::LHSDriver                                                                                                             
0RANKS OF LATIN HYPERCUBE SAMPLE INPUT VECTORS

 RUN NO.    X(1)
0    1      171.
0    2      133.
0    3      128.
0    4      220.
0    5      237.
0    6      194.
0    7      111.
0    8      222.
0    9      216.
0   10       69.
0   11       52.
0   12      155.
0   13       67.
0   14       40.
0   15        7.
0   16      152.
0   17       59.
0   18      225.
0   19      218.
0   20       80.
0   21      205.
0   22       73.
0   23      232.
0   24       95.
0   25      208.
0   26      150.
0   27      122.
0   28      102.
0   29      148.
0   30      212.
0   31      135.
0   32      120.
0   33       50.
0   34      109.
0   35      132.
0   36      233.
0   37      204.
0   38        1.
0   39      121.
0   40       41.
0   41      159.
0   42       88.
0   43      157.
0   44       36.
0   45      210.
0   46      228.
0   47      183.
0   48      227.
0   49       81.
0   50       18.
0   51      195.
0   52      115.
0   53      101.
0   54       56.
0   55       39.
0   56      209.
0   57      190.
0   58      105.
0   59        2.
0   60      236.
0   61       91.
0   62      196.
0   63      153.
0   64      163.
0   65       43.
0   66      189.
0   67      131.
0   68       54.
0   69      119.
0   70      151.
0   71       77.
0   72      207.
0   73       29.
0   74       62.
0   75      164.
0   76      127.
0   77      167.
0   78      215.
0   79      202.
0   80       35.
0   81      140.
0   82      229.
0   83      141.
0   84      142.
0   85      172.
0   86       82.
0   87       30.
0   88      168.
0   89      214.
0   90      181.
0   91       79.
0   92       27.
0   93       90.
0   94      149.
0   95      146.
0   96      110.
0   97       78.
0   98       98.
0   99       84.
0  100      177.
0  101      107.
0  102      235.
0  103      112.
0  104       75.
0  105       28.
0  106      104.
0  107        6.
0  108      154.
0  109       19.
0  110       99.
0  111      136.
0  112      161.
0  113      219.
0  114       31.
0  115      223.
0  116      147.
0  117      199.
0  118        3.
0  119       47.
0  120        9.
0  121      226.
0  122       51.
0  123       45.
0  124      184.
0  125       15.
0  126        4.
0  127       97.
0  128       96.
0  129       11.
0  130      174.
0  131      130.
0  132       57.
0  133       38.
0  134       94.
0  135        5.
0  136      124.
0  137      178.
0  138       17.
0  139       66.
0  140      198.
0  141       85.
0  142       72.
0  143       74.
0  144      186.
0  145       55.
0  146      234.
0  147        8.
0  148      114.
0  149       20.
0  150       64.
0  151      193.
0  152      160.
0  153       65.
0  154       53.
0  155       37.
0  156       32.
0  157       60.
0  158       16.
0  159       76.
0  160       92.
0  161       93.
0  162       87.
0  163      103.
0  164      116.
0  165      137.
0  166      192.
0  167      231.
0  168       83.
0  169       13.
0  170       49.
0  171       21.
0  172      201.
0  173      144.
0  174      239.
0  175      123.
0  176      129.
0  177       22.
0  178      173.
0  179      134.
0  180      125.
0  181      238.
0  182       33.
0  183       63.
0  184       34.
0  185      224.
0  186      182.
0  187       10.
0  188      106.
0  189       58.
0  190      169.
0  191       25.
0  192      197.
0  193      165.
0  194       26.
0  195      211.
0  196      166.
0  197       44.
0  198       48.
0  199      206.
0  200      188.
0  201      240.
0  202       61.
0  203      179.
0  204      230.
0  205      176.
0  206      200.
0  207       42.
0  208      117.
0  209       71.
0  210       68.
0  211      145.
0  212      162.
0  213      217.
0  214       24.
0  215      108.
0  216      185.
0  217       14.
0  218      138.
0  219      170.
0  220      175.
0  221       70.
0  222       46.
0  223      158.
0  224      187.
0  225       23.
0  226       86.
0  227      126.
0  228      113.
0  229      156.
0  230      139.
0  231      221.
0  232      180.
0  233      143.
0  234      191.
0  235      118.
0  236      203.
0  237      213.
0  238      100.
0  239       12.
0  240       89.
1   Pecos::LHSDriver                                                                                                             
0  HISTOGRAM FOR VARIABLE NO.  1     BOUNDED NORMAL DISTRIBUTION

     Midpoint          Freq.

   6.6499999E-01         1    X
   6.7499998E-01         2    XX
   6.8499998E-01         3    XXX
   6.9499998E-01         4    XXXX
   7.0499998E-01         7    XXXXXXX
   7.1499998E-01        10    XXXXXXXXXX
   7.2499998E-01        15    XXXXXXXXXXXXXXX
   7.3499998E-01        17    XXXXXXXXXXXXXXXXX
   7.4499998E-01        22    XXXXXXXXXXXXXXXXXXXXXX
   7.5499998E-01        24    XXXXXXXXXXXXXXXXXXXXXXXX
   7.6499998E-01        25    XXXXXXXXXXXXXXXXXXXXXXXXX
   7.7499998E-01        24    XXXXXXXXXXXXXXXXXXXXXXXX
   7.8499998E-01        23    XXXXXXXXXXXXXXXXXXXXXXX
   7.9499998E-01        18    XXXXXXXXXXXXXXXXXX
   8.0499998E-01        15    XXXXXXXXXXXXXXX
   8.1499998E-01        11    XXXXXXXXXXX
   8.2499998E-01         8    XXXXXXXX
   8.3499998E-01         5    XXXXX
   8.4499998E-01         3    XXX
   8.5499998E-01         2    XX
   8.6499998E-01         1    X
0                      240


      Min            Max           Range           Mean          Median        Variance

   6.6031506E-01  8.6396261E-01  2.0364756E-01  7.6594424E-01  7.6598966E-01  1.4220948E-03

1Pecos::LHSDriver                                                                                                             
0CORRELATIONS AMONG INPUT VARIABLES CREATED BY THE LATIN HYPERCUBE SAMPLE FOR RAW DATA                              PAGE   1
0    1  1.0000
0            1
0VARIABLES
0THE VARIANCE INFLATION FACTOR FOR THIS MATRIX IS  1.00
1Pecos::LHSDriver                                                                                                             
0CORRELATIONS AMONG INPUT VARIABLES CREATED BY THE LATIN HYPERCUBE SAMPLE FOR RANK DATA                              PAGE   1
0    1  1.0000
0            1
0VARIABLES
0THE VARIANCE INFLATION FACTOR FOR THIS MATRIX IS  1.00
